číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,Navrhující strana,Politická příslušnost,hlasy abs.,hlasy %,Mandát,Pořadí
8,ČSNS2005,2,Mikula Vilém  Mgr.,45,ČSNS2005,BEZPP,131,"4,00",-,-
8,ČSNS2005,3,Babinec Bohdan  MUDr. CSc.,65,ČSNS2005,ČSNS2005,165,"5,04",-,-
8,ČSNS2005,4,Klinger Rudolf  Mgr.,58,ČSNS2005,BEZPP,31,"0,94",-,-
8,ČSNS2005,5,Krejča František  PhDr.,55,ČSNS2005,ČSNS2005,48,"1,46",-,-
8,ČSNS2005,6,Foral Tomáš  Ing.,43,ČSNS2005,ČSNS2005,93,"2,84",-,-
8,ČSNS2005,8,Holub Zbyněk  PhDr. Ph.D.,52,ČSNS2005,ČSNS2005,85,"2,60",-,-
8,ČSNS2005,9,Pondělíček Jiří,44,ČSNS2005,ČSNS2005,23,"0,70",-,-
8,ČSNS2005,10,Horváthová Jessica  Mgr.,62,ČSNS2005,ČSNS2005,49,"1,49",-,-
8,ČSNS2005,11,Votava Přemysl,65,ČSNS2005,ČSNS2005,20,"0,61",-,-
8,ČSNS2005,12,Válek Vladimír  Ing. Ph.D.,51,ČSNS2005,ČSNS2005,32,"0,97",-,-
8,ČSNS2005,13,Dobrovolná Lenka  Ing.,29,ČSNS2005,BEZPP,49,"1,49",-,-
8,ČSNS2005,14,Přibylová Lenka  Ing. Ph.D.,29,ČSNS2005,BEZPP,62,"1,89",-,-
8,ČSNS2005,15,Palša Stanislav  RNDr. Mgr.,40,ČSNS2005,ČSNS2005,30,"0,91",-,-
8,ČSNS2005,16,Kracík Vladimír  Doc. Ing. CSc.,79,ČSNS2005,ČSNS2005,33,"1,00",-,-
8,ČSNS2005,17,Němcová Romana,24,ČSNS2005,BEZPP,29,"0,88",-,-
8,ČSNS2005,18,Kukačka Jan,65,ČSNS2005,DSČ,9,"0,27",-,-
8,ČSNS2005,19,Opatová Darja  Mgr.,47,ČSNS2005,BEZPP,12,"0,36",-,-
8,ČSNS2005,20,Novotný Zdeněk,53,ČSNS2005,ČSNS2005,18,"0,55",-,-
8,ČSNS2005,21,Fabián Ivan,51,ČSNS2005,ČSNS2005,18,"0,55",-,-
8,ČSNS2005,22,Kraft Pavel,38,ČSNS2005,ČSNS2005,43,"1,31",-,-
8,ČSNS2005,23,Hanzlíček Vladimír,51,ČSNS2005,ČSNS2005,18,"0,55",-,-
8,ČSNS2005,24,Švecová Ludmila,48,ČSNS2005,ČSNS2005,8,"0,24",-,-
8,ČSNS2005,25,Kracík Miroslav,84,ČSNS2005,ČSNS2005,12,"0,36",-,-
9,EDS,1,Hybášková Jana  PhDr.,43,EDS,EDS,15 653,"22,96",-,-
9,EDS,2,Šedivý Jiří   armádní generál,56,EDS,BEZPP,7 876,"11,55",-,-
9,EDS,3,Jourová Věra  Mgr.,44,EDS,BEZPP,3 429,"5,03",-,-
9,EDS,4,Wilhelm Ivan  Prof.,67,EDS,BEZPP,9 852,"14,45",-,-
9,EDS,5,Ryšlinková Jana  RNDr.,58,EDS,BEZPP,1 331,"1,95",-,-
9,EDS,6,Hulicius Eduard  Mgr.,28,EDS,EDS,622,"0,91",-,-
9,EDS,7,Šrámek Václav  RNDr.,58,EDS,EDS,128,"0,18",-,-
9,EDS,8,Petrášová Eva  PaedDr.,45,EDS,BEZPP,271,"0,39",-,-
9,EDS,9,Čapek Jaroslav  Mgr.,60,EDS,BEZPP,139,"0,20",-,-
9,EDS,10,Kolář Milan  Ing.,55,EDS,BEZPP,215,"0,31",-,-
9,EDS,11,Kleinová Ivana  PaedDr.,48,EDS,BEZPP,188,"0,27",-,-
9,EDS,12,Bednařík Vítězslav,47,EDS,BEZPP,82,"0,12",-,-
9,EDS,13,Zupková Alena  PaedDr.,48,EDS,BEZPP,90,"0,13",-,-
9,EDS,14,Holý Petr  Ing.,33,EDS,BEZPP,85,"0,12",-,-
9,EDS,15,Helšusová Dagmar,58,EDS,BEZPP,195,"0,28",-,-
9,EDS,16,Holečková Eva,51,EDS,BEZPP,44,"0,06",-,-
9,EDS,17,Pachta Lukáš   MA,27,EDS,BEZPP,138,"0,20",-,-
9,EDS,18,Krejčová Marie  Bc.,27,EDS,BEZPP,95,"0,13",-,-
9,EDS,19,Hybášek Martin,51,EDS,BEZPP,56,"0,08",-,-
9,EDS,20,Büchlerová Daniela  Mgr.,31,EDS,BEZPP,37,"0,05",-,-
9,EDS,21,Krejčí Tereza,26,EDS,BEZPP,50,"0,07",-,-
9,EDS,22,Holečková Lenka  Bc.,26,EDS,BEZPP,50,"0,07",-,-
10,SSD,1,Plaček Petr  Ing.,48,SSD,SSD,140,"9,83",-,-
11,DSZ,1,Solis Daniel,41,DSZ,DSZ,442,"2,99",-,-
11,DSZ,2,Zubová Olga  PhDr.,49,DSZ,DSZ,4 502,"30,49",-,-
11,DSZ,3,Koval Vladislav  Mgr.,43,DSZ,DSZ,325,"2,20",-,-
11,DSZ,4,Tomešová Luďka,40,DSZ,DSZ,240,"1,62",-,-
11,DSZ,5,Šteg Jiří  Ing.,53,DSZ,DSZ,138,"0,93",-,-
11,DSZ,6,Keller Jan  Prof. PhDr.,54,DSZ,BEZPP,2 331,"15,79",-,-
11,DSZ,7,Vondrouš Jan,31,DSZ,DSZ,121,"0,81",-,-
11,DSZ,8,Holubová Eva  RNDr.,53,DSZ,BEZPP,174,"1,17",-,-
11,DSZ,9,Soukup Jaromír,40,DSZ,DSZ,72,"0,48",-,-
11,DSZ,10,Volný Karel,51,DSZ,DSZ,58,"0,39",-,-
11,DSZ,11,Haisová Marie   MBA,58,DSZ,BEZPP,141,"0,95",-,-
11,DSZ,12,Ridvanová Jana,27,DSZ,BEZPP,145,"0,98",-,-
11,DSZ,13,Studnička Jan,39,DSZ,BEZPP,74,"0,50",-,-
11,DSZ,14,Sidon Daniel,22,DSZ,BEZPP,86,"0,58",-,-
11,DSZ,15,Hrušková Iveta,41,DSZ,BEZPP,137,"0,92",-,-
11,DSZ,16,Dienelt Ivo  Ing.,27,DSZ,BEZPP,38,"0,25",-,-
11,DSZ,17,Halák Peter  JUDr.,58,DSZ,DSZ,49,"0,33",-,-
11,DSZ,18,Pötsch Detlef,37,DSZ,BEZPP,86,"0,58",-,-
11,DSZ,19,Novotný Václav,25,DSZ,BEZPP,33,"0,22",-,-
11,DSZ,20,Jánek Ladislav,47,DSZ,BEZPP,30,"0,20",-,-
11,DSZ,21,Votruba Tomáš,39,DSZ,BEZPP,28,"0,18",-,-
11,DSZ,22,Bryndová Libuše,53,DSZ,BEZPP,71,"0,48",-,-
11,DSZ,23,Lienauová Marie,61,DSZ,BEZPP,29,"0,19",-,-
11,DSZ,24,Richterová Jaroslava  Mgr.,63,DSZ,DSZ,21,"0,14",-,-
11,DSZ,25,Nowak Arnold,54,DSZ,BEZPP,41,"0,27",-,-
11,DSZ,26,Kubošová Magda,49,DSZ,BEZPP,24,"0,16",-,-
11,DSZ,27,Reguette Otto,36,DSZ,BEZPP,7,"0,04",-,-
11,DSZ,28,Cais Josef,53,DSZ,BEZPP,39,"0,26",-,-
11,DSZ,29,Pavlíček Miroslav  Ing.,33,DSZ,BEZPP,29,"0,19",-,-
12,ČSNS,1,Joukl Zdeněk  Ing.,68,ČSNS,BEZPP,80,"10,11",-,-
13,NS,1,Edelmannová Petra  Mgr. Ph.D.,34,NS,NS,929,"14,83",-,-
13,NS,2,Petrášek Daniel  Mgr.,42,NS,NS,184,"2,93",-,-
13,NS,3,Laš Radoslav  Mgr.,39,NS,NS,93,"1,48",-,-
13,NS,4,Gaudin Jiří  Bc.,26,NS,NS,104,"1,66",-,-
13,NS,5,Skácel Jan  Mgr.,74,NS,NS,84,"1,34",-,-
13,NS,6,Opatrný Lukáš  Ing.,30,NS,NS,54,"0,86",-,-
13,NS,7,Skotnica Mojmír  MUDr.,63,NS,NS,90,"1,43",-,-
13,NS,8,Knapovský Miroslav  Ing.,37,NS,NS,55,"0,87",-,-
13,NS,10,Perna Tomáš  Ing.,56,NS,NS,55,"0,87",-,-
13,NS,11,Frýblová Taťána  MUDr. CSc.,65,NS,BEZPP,44,"0,70",-,-
13,NS,13,Komárek Václav  Mgr.,65,NS,NS,63,"1,00",-,-
13,NS,14,Pekárková Lucie  Ing. Bc.,33,NS,BEZPP,75,"1,19",-,-
13,NS,15,Malý Pavel  PhDr.,64,NS,BEZPP,22,"0,35",-,-
13,NS,16,Ungermann Patrick  Mgr.,35,NS,BEZPP,50,"0,79",-,-
13,NS,17,Kubík Michal,25,NS,NS,93,"1,48",-,-
13,NS,18,Galda Jindřich,56,NS,NS,27,"0,43",-,-
13,NS,20,Paštéka Ladislav,36,NS,NS,23,"0,36",-,-
13,NS,21,Ambrož Marcel,23,NS,NS,17,"0,27",-,-
13,NS,22,Pištorová Martina,24,NS,NS,17,"0,27",-,-
14,SDŽ,1,Jaš Stanislav  Ing.,32,SDŽ,BEZPP,4 906,"28,75",-,-
14,SDŽ,2,Volfová Jana  Mgr.,51,SDŽ,SDŽ,783,"4,58",-,-
14,SDŽ,3,Jindrák Miroslav  JUDr.,58,SDŽ,SDŽ,194,"1,13",-,-
14,SDŽ,4,Vybíral Zdeněk  Ing.,70,SDŽ,BEZPP,120,"0,70",-,-
14,SDŽ,5,Paukejová Marie  Ing.,54,SDŽ,SDŽ,268,"1,57",-,-
14,SDŽ,6,Rytíř Jan  JUDr.,40,SDŽ,SDŽ,638,"3,73",-,-
14,SDŽ,7,Halásek František  Ing.,64,SDŽ,SDŽ,290,"1,69",-,-
