číslo,název,poř. číslo,"příjmení, jméno, tituly",věk,Navrhující strana,Politická příslušnost,hlasy abs.,hlasy %,Mandát,Pořadí
1,Libertas,1,Tlustý Vlastimil  Ing.,53,Libertas,ODS,3 853,"17,32",-,-
1,Libertas,2,Železný Vladimír  PhDr.,64,Libertas,NEZ/DEM,7 030,"31,60",-,-
1,Libertas,3,Schwippel Jan  Ing. CSc.,42,Libertas,BEZPP,1 505,"6,76",-,-
1,Libertas,4,Hudlíková Andrea  Ing. DiS.,29,Libertas,Libertas,647,"2,90",-,-
1,Libertas,5,Vrtilka Luboš  Ing.,46,Libertas,BEZPP,225,"1,01",-,-
1,Libertas,6,Čundrle Ivan  Doc. MUDr. CSc.,62,Libertas,Doktoři,229,"1,02",-,-
1,Libertas,7,Litwan Vladimír  Mgr.,48,Libertas,NEZ/DEM,52,"0,23",-,-
1,Libertas,8,Líbal Miroslav  Ing.,30,Libertas,NEZ/DEM,127,"0,57",-,-
1,Libertas,9,Šůmová Alena  Mgr.,46,Libertas,NEZ/DEM,99,"0,44",-,-
1,Libertas,10,Baťa Robert  Ing. Ph.D.,34,Libertas,BEZPP,219,"0,98",-,-
1,Libertas,11,Stráník Rostislav  Ing. Ph.D.,29,Libertas,BEZPP,82,"0,36",-,-
1,Libertas,12,Stauderová Naděžda  MUDr.,64,Libertas,NEZ/DEM,64,"0,28",-,-
1,Libertas,13,Haisová Anna  JUDr.,54,Libertas,NEZ/DEM,74,"0,33",-,-
1,Libertas,14,Lolek Ctirad  PhDr.,60,Libertas,BEZPP,54,"0,24",-,-
1,Libertas,15,Kudělková Jana  Mgr.,29,Libertas,NEZ/DEM,87,"0,39",-,-
1,Libertas,16,John Vladimír,46,Libertas,NEZ/DEM,67,"0,30",-,-
1,Libertas,17,Hanák Pavel  Mgr.,47,Libertas,NEZ/DEM,58,"0,26",-,-
1,Libertas,18,Lýsek Mojmír,58,Libertas,BEZPP,28,"0,12",-,-
1,Libertas,19,Kabelka František  Ing. Arch.,50,Libertas,NEZ/DEM,55,"0,24",-,-
1,Libertas,20,Hercík Otta,59,Libertas,NEZ/DEM,22,"0,09",-,-
1,Libertas,21,Bartošek Stanislav  Mgr.,48,Libertas,NEZ/DEM,47,"0,21",-,-
1,Libertas,22,Šašková Lenka,21,Libertas,NEZ/DEM,88,"0,39",-,-
1,Libertas,23,Baťa Stanislav  Ing.,67,Libertas,NEZ/DEM,27,"0,12",-,-
1,Libertas,24,Fuka Jan,56,Libertas,Libertas,24,"0,10",-,-
1,Libertas,25,Malá Lenka  Mgr.,45,Libertas,NEZ/DEM,17,"0,07",-,-
1,Libertas,26,Matějíček Dalibor  Ing.,49,Libertas,NEZ/DEM,9,"0,04",-,-
1,Libertas,27,Böhmová Věra,74,Libertas,NEZ/DEM,14,"0,06",-,-
1,Libertas,28,Horáček Miroslav,50,Libertas,NEZ/DEM,12,"0,05",-,-
1,Libertas,29,Fraško Martin,39,Libertas,NEZ/DEM,38,"0,17",-,-
2,KDU-ČSL,1,Roithová Zuzana  MUDr. MBA,56,KDU-ČSL,KDU-ČSL,52 503,"29,09",*,1
2,KDU-ČSL,2,Březina Jan  Ing.,55,KDU-ČSL,KDU-ČSL,23 154,"12,83",*,2
2,KDU-ČSL,3,Benešík Ondřej   BBS,32,KDU-ČSL,KDU-ČSL,5 044,"2,79",-,1
2,KDU-ČSL,4,Jílková Marie  Mgr.,31,KDU-ČSL,KDU-ČSL,2 286,"1,26",-,2
2,KDU-ČSL,5,Lobkowicz Jaroslav,66,KDU-ČSL,KDU-ČSL,5 377,"2,97",-,3
2,KDU-ČSL,6,Macek David  Mgr.,32,KDU-ČSL,KDU-ČSL,4 507,"2,49",-,4
2,KDU-ČSL,7,Vykydal Ivo  Ing.,44,KDU-ČSL,KDU-ČSL,1 067,"0,59",-,5
2,KDU-ČSL,8,Klener Pavel  prof. MUDr. DrSc.,72,KDU-ČSL,BEZPP,5 793,"3,21",-,6
2,KDU-ČSL,9,Adamec Petr  Ing.,50,KDU-ČSL,KDU-ČSL,1 064,"0,58",-,7
2,KDU-ČSL,10,Svoboda Pavel  doc. JUDr. DEA,47,KDU-ČSL,KDU-ČSL,2 276,"1,26",-,8
2,KDU-ČSL,11,Vícha Josef,59,KDU-ČSL,KDU-ČSL,984,"0,54",-,9
2,KDU-ČSL,12,Ambrozek Libor  RNDr.,42,KDU-ČSL,KDU-ČSL,3 345,"1,85",-,10
2,KDU-ČSL,13,Cacková Marie  JUDr.,43,KDU-ČSL,KDU-ČSL,1 382,"0,76",-,11
2,KDU-ČSL,14,Zdechovský Tomáš  Mgr.,29,KDU-ČSL,KDU-ČSL,522,"0,28",-,12
2,KDU-ČSL,15,Feranc Daniel  Mgr.,29,KDU-ČSL,KDU-ČSL,109,"0,06",-,13
2,KDU-ČSL,16,Ondruš Jindřich  Ing. Bc.,44,KDU-ČSL,KDU-ČSL,734,"0,40",-,14
2,KDU-ČSL,17,Horák Pavel  Ing.,44,KDU-ČSL,KDU-ČSL,541,"0,29",-,15
2,KDU-ČSL,18,Hrdinová Marie  Ing. Bc.,41,KDU-ČSL,KDU-ČSL,411,"0,22",-,16
2,KDU-ČSL,19,Poulová Veronika,28,KDU-ČSL,KDU-ČSL,330,"0,18",-,17
2,KDU-ČSL,20,Chalánková Jitka  MUDr.,52,KDU-ČSL,KDU-ČSL,909,"0,50",-,18
2,KDU-ČSL,21,Kuhn Jiří  RNDr.,49,KDU-ČSL,BEZPP,193,"0,10",-,19
2,KDU-ČSL,22,Šustrová Helena  Mgr.,27,KDU-ČSL,KDU-ČSL,477,"0,26",-,20
2,KDU-ČSL,23,Šmíd Lubomír  Ing.,49,KDU-ČSL,KDU-ČSL,360,"0,19",-,21
2,KDU-ČSL,24,Tesaříková Zdeňka  Ing.,25,KDU-ČSL,KDU-ČSL,321,"0,17",-,22
2,KDU-ČSL,25,Mojžíšová Ludmila   DiS.,27,KDU-ČSL,BEZPP,78,"0,04",-,23
2,KDU-ČSL,26,Mihola Jiří  Mgr. Ph.D.,37,KDU-ČSL,KDU-ČSL,246,"0,13",-,24
2,KDU-ČSL,27,Kamba Stanislav  Ing.,52,KDU-ČSL,KDU-ČSL,284,"0,15",-,25
2,KDU-ČSL,28,Havíř František,52,KDU-ČSL,KDU-ČSL,214,"0,11",-,26
2,KDU-ČSL,29,Heřmánková Marie,41,KDU-ČSL,BEZPP,134,"0,07",-,27
3,VV,2,Klasnová Kateřina,31,VV,VV,7 033,"12,41",-,-
3,VV,3,Forman Libor,43,VV,VV,1 137,"2,00",-,-
3,VV,4,Andrýsová Lenka,24,VV,BEZPP,1 846,"3,25",-,-
3,VV,5,Kukrle Marek,44,VV,VV,613,"1,08",-,-
3,VV,6,Škárka Jaroslav,38,VV,VV,455,"0,80",-,-
3,VV,7,Peake Karolína,33,VV,VV,923,"1,62",-,-
3,VV,8,Pavel Michal,30,VV,VV,602,"1,06",-,-
3,VV,9,Hrdina Jan,28,VV,VV,576,"1,01",-,-
3,VV,10,Vysloužil Radim,28,VV,VV,301,"0,53",-,-
3,VV,11,Fišer Josef,27,VV,BEZPP,242,"0,42",-,-
3,VV,12,Fraňková Alena,52,VV,VV,167,"0,29",-,-
3,VV,13,Göttelová Daniela,43,VV,VV,440,"0,77",-,-
3,VV,14,Dobeš Josef,45,VV,VV,291,"0,51",-,-
3,VV,15,Smejkal Marek,25,VV,BEZPP,89,"0,15",-,-
3,VV,16,Vrbová Veronika,22,VV,BEZPP,253,"0,44",-,-
3,VV,17,Štylerová Kateřina,29,VV,BEZPP,45,"0,07",-,-
3,VV,18,Al-Lamiová Markéta,25,VV,BEZPP,52,"0,09",-,-
3,VV,19,Švejdová Anna,28,VV,BEZPP,200,"0,35",-,-
3,VV,20,Mlynarčíková Anna,30,VV,VV,40,"0,07",-,-
3,VV,21,Šulcová Kateřina,31,VV,BEZPP,324,"0,57",-,-
3,VV,22,Bouda Pavel,36,VV,BEZPP,72,"0,12",-,-
3,VV,23,Svobodová Jaroslava,54,VV,BEZPP,57,"0,10",-,-
3,VV,24,Ječná Markéta,31,VV,BEZPP,72,"0,12",-,-
3,VV,25,Lipková Zuzana,23,VV,BEZPP,72,"0,12",-,-
3,VV,26,Bradáček Jiří,21,VV,BEZPP,113,"0,19",-,-
4,ODS,1,Zahradil Jan  Ing.,46,ODS,ODS,65 731,"8,85",*,2
4,ODS,2,Tošenovský Evžen  Ing.,53,ODS,ODS,104 737,"14,11",*,1
4,ODS,3,Vlasák Oldřich  Ing.,53,ODS,ODS,11 744,"1,58",*,3
4,ODS,4,Cabrnoch Milan  MUDr.,46,ODS,ODS,7 143,"0,96",*,4
4,ODS,5,Strejček Ivo  PaedDr.,47,ODS,ODS,6 071,"0,81",*,5
4,ODS,6,Ouzký Miroslav  MUDr.,50,ODS,ODS,9 869,"1,33",*,6
4,ODS,7,Kožušník Edvard,38,ODS,ODS,11 567,"1,55",*,7
4,ODS,8,Fajmon Hynek  Mgr.,41,ODS,ODS,16 041,"2,16",*,8
4,ODS,9,Češková Andrea  JUDr.,37,ODS,ODS,14 477,"1,95",*,9
4,ODS,10,Zvěřina Jaroslav  Doc. MUDr. CSc.,66,ODS,ODS,34 194,"4,60",-,1
4,ODS,11,Hauptmann Werner  Ing.,41,ODS,ODS,2 049,"0,27",-,2
4,ODS,12,Úlehla Tomáš  Mgr.,44,ODS,ODS,4 137,"0,55",-,3
4,ODS,13,Lebeda Aleš  Prof. Ing. DrSc.,58,ODS,ODS,3 631,"0,48",-,4
4,ODS,14,Mallotová Helena  Mgr.,64,ODS,ODS,972,"0,13",-,5
4,ODS,15,"Hynek Josef  Doc. RNDr. MBA, Ph.D.",43,ODS,ODS,7 730,"1,04",-,6
4,ODS,16,Balabán Milan  Ing.,65,ODS,ODS,2 575,"0,34",-,7
4,ODS,17,"Hurt Karel  MUDr. MSc.,Ph.D.,DrSc",54,ODS,ODS,6 759,"0,91",-,8
4,ODS,18,Šifalda Miloš  RNDr.,45,ODS,ODS,2 074,"0,27",-,9
4,ODS,19,Vavroušek Vítězslav  MUDr. MBA,53,ODS,ODS,2 089,"0,28",-,10
4,ODS,20,Dolina Jaroslav,36,ODS,ODS,1 162,"0,15",-,11
4,ODS,21,Chlaň Alexander  Ing. Ph.D.,33,ODS,ODS,1 388,"0,18",-,12
4,ODS,22,Černík Aleš  Ing.,40,ODS,ODS,222,"0,02",-,13
4,ODS,23,Bartošová Kateřina  Bc.,33,ODS,ODS,2 427,"0,32",-,14
4,ODS,24,Sefzig Luděk  MUDr.,52,ODS,ODS,930,"0,12",-,15
4,ODS,25,"Asuquo Raymond  Ing. Ph.D., MBA",51,ODS,ODS,1 455,"0,19",-,16
4,ODS,26,Beitl Petr  Ing.,42,ODS,ODS,769,"0,10",-,17
4,ODS,27,Sokol Petr  PhDr.,34,ODS,ODS,2 161,"0,29",-,18
4,ODS,28,Michálek Jan  MUDr.,51,ODS,ODS,1 194,"0,16",-,19
4,ODS,29,Šindlerová Irena  Mgr.,35,ODS,ODS,1 988,"0,26",-,20
5,Suveren.,1,Bobošíková Jana  Ing.,44,"""21""","""21""",42 730,"42,51",-,-
5,Suveren.,2,Weiszová Silvia,41,SZR,SZR,2 973,"2,95",-,-
5,Suveren.,3,Průšová Yvona  Ing.,47,"""21""",BEZPP,2 166,"2,15",-,-
5,Suveren.,4,Dlouhá Lucie  Bc.,26,SZR,BEZPP,997,"0,99",-,-
5,Suveren.,5,Pecka Stanislav,59,SZR,BEZPP,1 328,"1,32",-,-
5,Suveren.,6,Orel Ladislav  Ing.,46,SZR,BEZPP,413,"0,41",-,-
5,Suveren.,7,Obhlídal Zdeněk,56,SZR,SZR,147,"0,14",-,-
5,Suveren.,8,Křížová Vlasta  MVDr.,51,SZR,BEZPP,424,"0,42",-,-
5,Suveren.,9,Fišer Petr,49,SZR,SZR,172,"0,17",-,-
5,Suveren.,10,Froňková Dousková Gabriela  Mgr.,38,SZR,BEZPP,556,"0,55",-,-
5,Suveren.,11,Matouš Libor,38,SZR,BEZPP,186,"0,18",-,-
5,Suveren.,12,Hlávka Pavel,50,SZR,BEZPP,101,"0,10",-,-
5,Suveren.,13,Bílská Jitka,49,SZR,SZR,139,"0,13",-,-
5,Suveren.,14,Šapovalov Pavel  Ing.,49,SZR,BEZPP,209,"0,20",-,-
5,Suveren.,15,Kocman Petr  Ing.,49,SZR,BEZPP,198,"0,19",-,-
5,Suveren.,16,Nevečeřalová Věra  Mgr.,54,SZR,BEZPP,171,"0,17",-,-
5,Suveren.,17,Bartoš Martin,40,SZR,BEZPP,58,"0,05",-,-
5,Suveren.,18,Patřičná Jitka,40,SZR,SZR,115,"0,11",-,-
5,Suveren.,19,Filipová Alena,62,SZR,SZR,91,"0,09",-,-
5,Suveren.,20,Hodovalová Renata,40,SZR,BEZPP,56,"0,05",-,-
5,Suveren.,21,Langhammer Lubomír,43,SZR,SZR,36,"0,03",-,-
5,Suveren.,22,Močubová Simona  Ing.,35,SZR,BEZPP,148,"0,14",-,-
5,Suveren.,23,Talašová Marie,48,SZR,BEZPP,93,"0,09",-,-
5,Suveren.,24,Šimanský Robert  Ing. Mgr.,34,SZR,BEZPP,119,"0,11",-,-
5,Suveren.,25,Voda Miroslav,64,SZR,BEZPP,60,"0,05",-,-
5,Suveren.,26,Janů Jiří  Ing.,54,SZR,BEZPP,66,"0,06",-,-
5,Suveren.,27,Zasadil Bořek  MUDr.,54,SZR,BEZPP,252,"0,25",-,-
5,Suveren.,28,Číla Ivan,57,SZR,SZR,23,"0,02",-,-
5,Suveren.,29,Valterová Věra  JUDr.,61,"""21""","""21""",199,"0,19",-,-
6,PB,1,Cibulka Petr,58,PB,PB,4 896,"20,73",-,-
6,PB,2,Jebavá Miloslava  PhDr.,56,PB,PB,1 731,"7,33",-,-
6,PB,3,Kazilovský František,52,PB,PB,243,"1,02",-,-
6,PB,4,Zejda Antonín,58,PB,PB,127,"0,53",-,-
6,PB,5,Seibert Eduard,61,PB,BEZPP,100,"0,42",-,-
6,PB,6,Myslivec Jindřich,59,PB,PB,126,"0,53",-,-
6,PB,7,Kudláček Kryštof  Mgr.,25,PB,BEZPP,126,"0,53",-,-
6,PB,8,Pešula Milan Miki,49,PB,BEZPP,39,"0,16",-,-
6,PB,9,Lukáček Petr,50,PB,PB,28,"0,11",-,-
6,PB,10,Matysková Edita,37,PB,BEZPP,83,"0,35",-,-
6,PB,11,Roubínek Miroslav,34,PB,PB,43,"0,18",-,-
6,PB,12,Pazdera Ivo,39,PB,BEZPP,79,"0,33",-,-
6,PB,13,Černota Miroslav,51,PB,BEZPP,29,"0,12",-,-
6,PB,14,Andras Jiří,54,PB,BEZPP,24,"0,10",-,-
6,PB,15,Tichý Lubomír  Ing.,61,PB,BEZPP,48,"0,20",-,-
6,PB,16,Nosek Zdeněk,48,PB,BEZPP,29,"0,12",-,-
6,PB,17,Šillerová Tereza,24,PB,BEZPP,149,"0,63",-,-
6,PB,18,Seibert Tomáš,37,PB,BEZPP,30,"0,12",-,-
6,PB,19,Durchánek Petr,54,PB,BEZPP,38,"0,16",-,-
6,PB,20,Durdil Miroslav,60,PB,BEZPP,44,"0,18",-,-
6,PB,21,Plzák Petr,47,PB,BEZPP,22,"0,09",-,-
6,PB,22,Skalická Šárka,38,PB,BEZPP,51,"0,21",-,-
6,PB,23,Kopsa Stanislav,57,PB,BEZPP,38,"0,16",-,-
6,PB,24,Jelínek Josef,60,PB,BEZPP,53,"0,22",-,-
6,PB,25,Chaloupka Miroslav,67,PB,PB,23,"0,09",-,-
6,PB,26,Pýchová Jana,46,PB,BEZPP,58,"0,24",-,-
6,PB,27,Hofman Vladimír,65,PB,BEZPP,25,"0,10",-,-
6,PB,28,Lev Ivan,64,PB,BEZPP,26,"0,11",-,-
6,PB,29,Kašík Pavel,43,PB,BEZPP,81,"0,34",-,-
7,SPR-RSČ,1,Sládek Miroslav  PhDr.,58,SPR-RSČ,SPR-RSČ,2 362,"31,52",-,-
7,SPR-RSČ,2,Valenta Josef,58,SPR-RSČ,SPR-RSČ,260,"3,47",-,-
7,SPR-RSČ,3,Krampera Zdeněk,57,SPR-RSČ,SPR-RSČ,73,"0,97",-,-
7,SPR-RSČ,4,Kopecký Jaroslav,52,SPR-RSČ,SPR-RSČ,38,"0,50",-,-
7,SPR-RSČ,5,Kučera Dušan,47,SPR-RSČ,SPR-RSČ,44,"0,58",-,-
7,SPR-RSČ,6,Dufek Jiří,57,SPR-RSČ,SPR-RSČ,78,"1,04",-,-
7,SPR-RSČ,7,Christov Ljulin,67,SPR-RSČ,SPR-RSČ,38,"0,50",-,-
7,SPR-RSČ,8,Jarkovská Věra,58,SPR-RSČ,SPR-RSČ,42,"0,56",-,-
7,SPR-RSČ,9,Sekyra Michal,38,SPR-RSČ,SPR-RSČ,79,"1,05",-,-
7,SPR-RSČ,10,Dupák Jaroslav,53,SPR-RSČ,SPR-RSČ,36,"0,48",-,-
7,SPR-RSČ,11,Mrkvička Miroslav,59,SPR-RSČ,SPR-RSČ,46,"0,61",-,-
7,SPR-RSČ,12,Skovajsa Jiří,49,SPR-RSČ,SPR-RSČ,29,"0,38",-,-
7,SPR-RSČ,13,Stolin Zdeněk  Ing.,30,SPR-RSČ,SPR-RSČ,60,"0,80",-,-
7,SPR-RSČ,14,Kratochvíl Roman,44,SPR-RSČ,SPR-RSČ,46,"0,61",-,-
7,SPR-RSČ,15,Kubec Ivan,61,SPR-RSČ,SPR-RSČ,22,"0,29",-,-
7,SPR-RSČ,16,Dítko Petr,72,SPR-RSČ,SPR-RSČ,16,"0,21",-,-
7,SPR-RSČ,17,Pozděnová Marie,54,SPR-RSČ,SPR-RSČ,61,"0,81",-,-
7,SPR-RSČ,18,Chudáček Miloslav,61,SPR-RSČ,SPR-RSČ,11,"0,14",-,-
7,SPR-RSČ,19,Louda Jaroslav,55,SPR-RSČ,SPR-RSČ,8,"0,10",-,-
7,SPR-RSČ,22,Konjata Pavel,37,SPR-RSČ,SPR-RSČ,10,"0,13",-,-
8,ČSNS2005,1,Šterzl Ivan  Prof. MUDr. CSc.,55,ČSNS2005,BEZPP,341,"10,43",-,-
